TIMESTAMP,VX,VY,VZ,GX,GY,GZ,AX,AY,AZ
1634102703,4.35,305.09,2.08,3999.88,3999.45,0.79,283.97,332.94,343.12
1634102704,4.45,305.18,2.22,0,0,0.37,284.45,332.53,342.92
1634102706,4.45,305.14,2.09,3999.76,0.18,0.73,283.96,332.96,342.99
1634102707,4.37,305.1,2.02,3999.94,0,0.12,284.21,332.44,342.74
1634102708,4.52,305.2,2.09,3999.02,0.24,3999.69,283.76,332.46,341.71
1634102709,4.57,305.32,2.15,3999.27,0.12,0.55,284.1,332.86,341
1634102710,4.56,305.14,2.1,0.55,0.12,3999.21,283.62,332.37,341.03
1634102711,4.5,305.02,2.02,0.55,0.18,3999.69,283.67,332.34,341.01
1634102712,4.4,305.36,2.15,3998.9,3999.51,0.85,283.91,332.92,341.05
1634102713,4.41,305.2,2.04,3998.72,3999.45,0.67,283.78,332.98,341.13
1634102714,4.58,305.3,1.97,3999.76,0.06,0.31,283.44,332.55,341.33
1634102715,4.48,305.16,2.05,0.49,0.12,0.06,283.93,332.19,341.37
1634102716,4.71,305.36,2.08,3999.69,3999.63,0.67,284.11,331.88,341.78
1634102717,4.49,305.06,1.95,0.24,0.37,0,282.78,332.57,342.64
1634102718,4.68,305.14,1.93,0.49,0.49,3999.88,282.85,332.56,342.58
1634102720,4.48,305.02,1.97,3999.15,0.31,3999.39,283.78,332.01,341.63
1634102721,4.53,305.1,1.98,3999.15,0.37,3999.15,283.69,331.99,341.58
1634102722,4.57,305.06,1.93,3998.84,0.49,0.37,283.6,332.01,341.52
1634102723,4.52,305.15,1.83,0.18,1.04,3998.96,283.52,332.44,339.67
1634102724,4.45,305.15,2.03,0.55,1.59,3999.82,283.18,332.42,338.62
1634102725,4.58,305.26,1.85,0.49,1.4,3999.63,289.8,0.42,18
1634102726,2,1.39,9.81,27.71,3997.62,30.21,288.08,314.52,63.73
1634102727,7.76,307.48,1.89,27.89,17.94,30.46,286.63,315.5,65.83
1634102728,10.36,5.1,311.47,185.24,3985.05,3751.95,87.57,303.16,289.78
1634102729,9.18,3.67,7.45,3971.01,115.42,3945.92,20.59,314.13,349.09
1634102730,7.97,1.53,5.05,3994.08,27.65,3966.25,103.19,29.53,296.58
1634102731,309.14,8.46,311.02,3995.85,3981.75,3976.87,105.94,26.19,292.62
1634102732,309.48,8.31,0.07,8.3,1.1,3998.78,92.31,25.68,202.2
1634102734,309.09,9.8,4.32,3778.81,3890.99,116.58,66.97,18.51,192.15
1634102735,310.39,6.45,4.19,3702.33,3872.92,141.36,37.03,358.6,190.71
1634102736,1.43,2.84,9.05,3999.76,3996.52,1.83,21.75,353.41,190.79
